City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,alice springs,-23.7,133.8833,32.75,40,7,4.12,AU,1674378984
37,babati,-4.2167,35.75,26.12,36,100,4.42,TZ,1674378984
38,ushuaia,-54.8,-68.3,2.46,91,13,1.26,AR,1674378717
39,mataura,-46.1927,168.8643,10.2,91,67,1.13,NZ,1674378985
40,sturgeon bay,44.8342,-87.377,-5.8,93,100,4.12,US,1674378717
41,codrington,-38.2667,141.9667,17.04,78,30,6.02,AU,1674378986
42,guerrero negro,27.9769,-114.0611,11.79,41,0,1.58,MX,1674378864
43,yerbogachen,61.2767,108.0108,-41.64,100,74,2.01,RU,1674378988
44,pianco,-7.1981,-37.9292,23.67,81,5,1.53,BR,1674378988
45,reconquista,-29.15,-59.65,20.09,92,0,1.16,AR,1674378989
46,thompson,55.7435,-97.8558,-21.25,100,99,0.7,CA,1674378932
47,gao,16.6362,1.637,26.42,10,79,3.28,ML,1674378946
48,chaihe,44.7667,129.7,-22.19,96,97,1.4,CN,1674378990
49,altea,38.5989,-0.0514,8.54,35,0,3.45,ES,1674378991
50,pisco,-13.7,-76.2167,21.03,88,100,1.54,PE,1674378991
51,okmulgee,35.6234,-95.9605,4.53,87,100,2.57,US,1674378992
52,dillon,34.4166,-79.3712,7.84,74,100,2.6,US,1674378993
53,saldanha,-33.0117,17.9442,20.28,74,56,6.63,ZA,1674378805
54,pafos,34.7667,32.4167,19.02,48,20,1.03,CY,1674378994
55,butaritari,3.0707,172.7902,27.17,74,68,7.3,KI,1674378994
56,hithadhoo,-0.6,73.0833,27.61,72,51,4.38,MV,1674378750
57,gladstone,-23.85,151.25,25.96,69,65,4.63,AU,1674378868
58,cap malheureux,-19.9842,57.6142,28.04,75,99,5.16,MU,1674378996
59,tiksi,71.6872,128.8694,-28.25,88,100,1.76,RU,1674378996
60,kasempa,-13.4584,25.8338,21.6,79,94,4.59,ZM,1674378997
61,bengkulu,-3.8004,102.2655,26.45,85,99,2.61,ID,1674378998
62,naze,28.3667,129.4833,16.51,82,100,12.56,JP,1674378998
63,farmington,36.7281,-108.2187,-7.9,89,0,2.57,US,1674378930
64,torbay,47.6666,-52.7314,0.42,96,100,9.83,CA,1674378747
65,bac lieu,9.285,105.7244,28.0,67,41,7.8,VN,1674379000
66,lyuban,52.7985,28.0048,2.13,89,84,2.21,BY,1674379000
67,lorengau,-2.0226,147.2712,27.32,79,100,2.99,PG,1674379001
68,carnarvon,-24.8667,113.6333,25.32,74,1,10.19,AU,1674378831
69,georgetown,5.4112,100.3354,26.96,89,40,0.0,MY,1674378975
70,sabha,27.0377,14.4283,16.36,16,9,4.4,LY,1674379003
71,umm kaddadah,13.6017,26.6876,26.25,9,1,7.93,SD,1674379003
72,meulaboh,4.1363,96.1285,27.4,76,87,3.25,ID,1674378990
73,teguise,29.0605,-13.564,17.12,68,20,6.17,ES,1674379004
74,kollam,8.8833,76.6,28.66,55,89,3.51,IN,1674379005
75,broken hill,-31.95,141.4333,29.21,24,51,5.18,AU,1674379006
76,port elizabeth,-33.918,25.5701,25.17,75,75,8.23,ZA,1674379006
77,saint-philippe,-21.3585,55.7679,29.77,82,100,4.38,RE,1674379007
78,ilulissat,69.2167,-51.1,-22.99,45,20,3.09,GL,1674379007
79,inongo,-1.95,18.2667,25.39,75,100,2.62,CD,1674379008
80,kampot,10.6167,104.1833,30.03,57,98,2.55,KH,1674379009
81,katsuura,35.1333,140.3,7.37,87,100,4.54,JP,1674378987
82,hermanus,-34.4187,19.2345,21.55,69,88,2.94,ZA,1674379010
83,marienburg,54.0359,19.0266,2.8,80,100,3.97,PL,1674379010
84,craig,40.5153,-107.5464,-10.21,78,100,0.0,US,1674378976
85,necochea,-38.5473,-58.7368,20.27,68,11,7.84,AR,1674379011
86,new norfolk,-42.7826,147.0587,18.73,73,95,1.32,AU,1674379012
87,norman wells,65.282,-126.8329,-20.98,77,100,2.06,CA,1674379012
88,slave lake,55.2834,-114.769,1.61,83,100,6.48,CA,1674378945
89,muravlenko,63.7898,74.523,-7.4,94,100,6.2,RU,1674379014
90,nhulunbuy,-12.2333,136.7667,27.34,89,75,4.63,AU,1674379014
91,aripuana,-9.1667,-60.6333,21.03,99,100,0.8,BR,1674379015
92,bambous virieux,-20.3428,57.7575,29.14,74,75,6.69,MU,1674379015
93,dhidhdhoo,6.8833,73.1,26.6,71,92,5.69,MV,1674379016
94,san patricio,28.017,-97.5169,14.91,91,0,3.09,US,1674378701
95,touros,-5.1989,-35.4608,25.48,82,75,3.26,BR,1674379017
96,iqaluit,63.7506,-68.5145,-12.15,92,100,3.09,CA,1674379018
97,kandi,11.1342,2.9386,29.91,14,77,2.45,BJ,1674379018
98,cape town,-33.9258,18.4232,25.62,61,55,3.13,ZA,1674378438
99,scarborough,54.2797,-0.4044,0.74,88,11,4.92,GB,1674378804
100,jamestown,42.097,-79.2353,-0.23,86,100,2.06,US,1674379019
101,villa carlos paz,-31.4241,-64.4978,21.33,51,0,1.34,AR,1674379020
102,agadir,30.4202,-9.5982,7.25,53,0,0.71,MA,1674379021
103,kapaa,22.0752,-159.319,22.18,94,100,0.45,US,1674379021
104,karlskrona,56.1616,15.5866,0.25,79,58,7.12,SE,1674379022
105,nanortalik,60.1432,-45.2371,-8.92,64,4,5.09,GL,1674379023
106,moerai,-22.4333,-151.3333,24.61,82,100,6.87,PF,1674379023
107,hobart,-42.8794,147.3294,18.92,83,75,1.54,AU,1674379024
108,victor harbor,-35.5667,138.6167,20.38,81,19,0.89,AU,1674379025
109,praia,14.9215,-23.5087,21.3,52,75,3.6,CV,1674379026
110,celestun,20.8667,-90.4,20.79,80,7,5.36,MX,1674378854
111,tallahassee,30.4383,-84.2807,12.04,96,100,2.57,US,1674378889
112,lebu,-37.6167,-73.65,13.39,93,0,4.75,CL,1674378811
113,richards bay,-28.783,32.0377,34.72,33,0,4.8,ZA,1674379027
114,provideniya,64.3833,-173.3,-26.94,88,97,5.82,RU,1674379028
115,xichang,27.8964,102.2634,17.21,29,9,2.95,CN,1674379029
116,ulaanbaatar,47.9077,106.8832,-29.93,52,0,5.0,MN,1674378990
117,talnakh,69.4865,88.3972,-19.33,69,100,8.34,RU,1674379030
118,flin flon,54.7682,-101.865,-10.52,97,100,2.36,CA,1674379030
119,sfantu gheorghe,45.8667,25.7833,7.37,88,100,3.35,RO,1674379031
120,kununurra,-15.7667,128.7333,28.99,84,95,0.51,AU,1674379032
121,alofi,-19.0595,-169.9187,24.94,94,14,1.03,NU,1674379033
122,mbandaka,0.0487,18.2603,30.63,51,99,1.84,CD,1674379033
123,makakilo city,21.3469,-158.0858,24.2,78,75,3.6,US,1674379034
124,guangyuan,32.442,105.823,10.13,46,53,2.74,CN,1674379034
125,harper,4.375,-7.7169,27.83,76,97,3.21,LR,1674379035
126,upernavik,72.7868,-56.1549,-32.8,66,15,3.34,GL,1674379036
127,bassar,9.25,0.7833,29.93,33,10,0.8,TG,1674379036
128,yellowknife,62.456,-114.3525,-10.71,92,100,4.63,CA,1674379037
129,lompoc,34.6391,-120.4579,10.51,63,0,9.39,US,1674379038
130,puerto del rosario,28.5004,-13.8627,18.86,77,75,8.75,ES,1674379038
131,hilo,19.7297,-155.09,24.6,78,40,3.09,US,1674378581
132,zhigansk,66.7697,123.3711,-43.36,99,95,2.4,RU,1674379039
133,maningrida,-12.0667,134.2667,27.9,77,100,2.6,AU,1674379040
134,tucuma,-0.1833,-50.05,23.41,94,100,2.21,BR,1674379040
135,de aar,-30.6497,24.0123,30.44,27,10,4.63,ZA,1674379041
136,cayenne,4.9333,-52.3333,25.02,94,75,3.6,GF,1674379042
137,gummidipundi,13.4,80.15,29.0,58,97,5.36,IN,1674379042
138,college,64.8569,-147.8028,-25.82,84,0,2.57,US,1674379043
139,qaqortoq,60.7167,-46.0333,-14.74,60,13,5.58,GL,1674379044
140,dikson,73.5069,80.5464,-17.18,93,100,11.88,RU,1674378746
